_exported_at;_system_object_id;_id;_last_modified;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_isler_name#de-DE;oeu_isler_name#en-US
"2023-05-25T10:42:53+02:00";"111791";"17147";"2023-03-28T12:42:52Z";"Hauptbahnhof Stuttgart 21 : Vorstatik-Berechungen";"";"Hauptbahnhof Stuttgart 21 : Vorstatik-Berechungen";"Central Station Stuttgart 21 : Static Calculations"
"2023-05-25T10:42:53+02:00";"111798";"17154";"2023-05-14T21:48:06Z";"Fasshandel Charles Jaccaz";"Barrel Trade Charles Jaccaz";"Fasshandel Charles Jaccaz";"Barrel Trade Charles Jaccaz"
"2023-05-25T10:42:53+02:00";"111843";"17199";"2023-03-28T12:42:54Z";"Innenwände eines eher kleinen Objektes";"";"Innenwände eines eher kleinen Objektes";"Inner Walls of a Rather Small Object"
"2023-05-25T10:42:53+02:00";"111844";"17200";"2023-05-03T10:02:33Z";"Brauerei Haldengut : Vordächer Flaschengeschäft";"";"Brauerei Haldengut : Vordächer Flaschengeschäft";"Brewery Haldengut : Canopies Bottle Shop"
"2023-05-25T10:42:53+02:00";"111845";"17201";"2023-03-28T12:42:55Z";"Landmaschinenhandlung und -werkstatt";"";"Landmaschinenhandlung und -werkstatt";"Agricultural Machinery Dealership and Workshop"
"2023-05-25T10:42:53+02:00";"111846";"17202";"2023-03-28T12:42:57Z";"Pro Rheno Betriebs AG: Abwasserreinigungsanlage ARA: Abdeckung Abwassertanks";"";"Pro Rheno Betriebs AG : Abwasserreinigungsanlage ARA : Abdeckung Abwassertanks";"Pro Rheno Betriebs AG : Ara Wastewater Treatment Plant : Cover Wastewater Tanks"
"2023-05-25T10:42:53+02:00";"111847";"17203";"2023-04-12T09:11:21Z";"13. Asienspiele 1998 : Sportzentrum";"";"13. Asienspiele 1998 : Sportzentrum";"13. Asian Games 1998 : Sports Center"
"2023-05-25T10:42:53+02:00";"111848";"17204";"2023-03-28T12:42:59Z";"Bundesgartenschau";"";"Bundesgartenschau";"Federal Garden Show"
"2023-05-25T10:42:53+02:00";"111849";"17205";"2023-03-21T10:27:17Z";"Fasshandel Charles Jaccaz : Halle, Bürogebäude";"";"Fasshandel Charles Jaccaz : Halle, Bürogebäude";"Fasshandel Charles Jaccaz : Hall, Office Building"
"2023-05-25T10:42:53+02:00";"111850";"17206";"2023-05-02T12:56:53Z";"Bauunternehmung W. Bösiger AG : Bürogebäude";"";"Bauunternehmung W. Bösiger AG";"Construction Company W. Bösiger AG"
"2023-05-25T10:42:53+02:00";"111851";"17207";"2023-03-28T12:43:01Z";"Flachdachhalle Räss + Co. AG";"";"Flachdachhalle Räss + Co. AG";"Flat Roof Hall Räss + Co. AG"
"2023-05-25T10:42:53+02:00";"111852";"17208";"2023-05-02T09:00:38Z";"Architekt J. Schröder";"";"Architekt J. Schröder";"Architect J. Schröder"
"2023-05-25T10:42:53+02:00";"111853";"17209";"2023-02-23T13:33:46Z";"Perforag Ltd. : Neubau";"";"Perforag Ltd. : Neubau";"Perforag Ltd. : New Building"
"2023-05-25T10:42:53+02:00";"111854";"17210";"2023-03-28T12:43:04Z";"Bürgenmeier-Kirsmer";"";"Bürgenmeier-Kirsmer";"Bürgenmeier-Kirsmer"
"2023-05-25T10:42:53+02:00";"111855";"17211";"2023-03-28T12:43:05Z";"Granulatsilo Haka AG : Berechnungen (Fundamente)";"";"Granulatsilo Haka AG : Berechnungen (Fundamente)";"Granulate Silo Haka AG : Calculations (Foundations)"
"2023-05-25T10:42:53+02:00";"111856";"17212";"2021-03-11T17:24:11Z";"Metallbearbeitung Haba AG : Lagerhalle : Neubau";"";"Metallbearbeitung Haba AG";"Metalworking Haba AG"
"2023-05-25T10:42:53+02:00";"111857";"17213";"2023-05-02T09:14:00Z";"Garage Egloff";"";"Garage Egloff";"Garage Egloff"
"2023-05-25T10:42:53+02:00";"111858";"17214";"2023-03-28T12:43:06Z";"Hr. Koch : Neubau";"";"Hr. Koch : Neubau";"Hr. Koch : New Building"
"2023-05-25T10:42:53+02:00";"111859";"17215";"2023-03-28T12:43:08Z";"Kabelwerke Brugg";"";"Kabelwerke Brugg";"Brugg Cable Works"
