"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"112185","17541","Projekt 2000","01.01.2000","31.12.2000","2000","2000"
"112186","17542","Anfrage 1973","01.01.1973","31.12.1973","1973","1973"
"112187","17543","Anfrage 1976/1978","01.01.1976","31.12.1978","1976","1978"
"112189","17545","Anfrage 1983","01.01.1983","31.12.1983","1983","1983"
"112190","17546","Anfrage 1974/75","01.01.1974","31.12.1975","1974","1975"
"112191","17547","Akquisition 1970","01.01.1970","31.12.1970","1970","1970"
"112243","17599","Vorprojekt 1962","01.01.1962","31.12.1962","1962","1962"
"112244","17600","Vorprojekt 1966","01.01.1966","31.12.1966","1966","1966"
"112246","17602","Projekt 1966/1967","01.01.1966","31.12.1967","1966","1967"
"112247","17603","Anfrage 1999","01.01.1999","31.12.1999","1999","1999"
"112248","17604","Vorprojekt 1980","01.01.1980","31.12.1980","1980","1980"
"112250","17606","Vorschlag 1967","01.01.1967","31.12.1967","1967","1967"
"112251","17607","Vorprojekte oder Wettbewerb 1997/1998","01.01.1997","31.12.1998","1997","1998"
"112252","17608","Vorprojekt 1989","01.01.1989","31.12.1989","1989","1989"
"112253","17609","Anfrage 1988","01.01.1988","31.12.1988","1988","1988"
"112254","17610","Vorprojekt 1975","01.01.1975","31.12.1975","1975","1975"
"112255","17611","Projekt 1971/1973","01.01.1971","31.12.1973","1971","1973"
"112256","17612","Anfrage 1978","01.01.1978","31.12.1978","1978","1978"
"112258","17614","Vorprojekt 1982","01.01.1982","31.12.1982","1982","1982"
"112259","17615","Anfrage 1988","01.01.1988","31.12.1988","1988","1988"
"112260","17616","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"112261","17617","Vorprojekt 1966","01.01.1966","31.12.1966","1966","1966"
"112262","17618","Vorschlag 1966","01.01.1966","31.12.1966","1966","1966"
"112264","17620","Vorprojekt 1982","01.01.1982","31.12.1982","1982","1982"
"112265","17621","Vorprojekt 1991/1993","01.01.1991","31.12.1993","1991","1993"
"112266","17622","Vorprojekt 1966","01.01.1966","31.12.1966","1966","1966"
"112267","17623","undatiert [1960/1970]","01.01.1960","31.12.1970","1960","1970"
"112269","17625","Anfrage 1970","01.01.1970","31.12.1970","1970","1970"
"112270","17626","Vorschlag 1966","01.01.1966","31.12.1966","1966","1966"
"112271","17627","Vorprojekt 1984","01.01.1984","31.12.1984","1984","1984"
"112272","17628","Vorprojekt 1965","01.01.1965","31.12.1965","1965","1965"
"112275","17631","Anfrage 1974","01.01.1974","31.12.1974","1974","1974"
"112276","17632","Anfrage 2001","01.01.2001","31.12.2001","2001","2001"
"112278","17634","Vorprojekt 1977","01.01.1977","31.12.1977","1977","1977"
"112279","17635","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"112280","17636","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112282","17638","Anfrage 1966/1968","01.01.1966","31.12.1968","1966","1968"
"112283","17639","Vorprojekt 1995","01.01.1995","31.12.1995","1995","1995"
"112287","17643","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112288","17644","Vorprojekt 1966/1967","01.01.1966","31.12.1967","1966","1967"
"112291","17647","Anfrage 2003","01.01.2003","31.12.2003","2003","2003"
"112344","17700","Anfrage 1976","01.01.1976","31.12.1976","1976","1976"
"112345","17701","Vorprojekt 1966","01.01.1966","31.12.1966","1966","1966"
"112346","17702","Vorschlag 1969","01.01.1969","31.12.1969","1969","1969"
"112347","17703","Vorprojekt 1983","01.01.1983","31.12.1983","1983","1983"
"112348","17704","Anfrage 1971","01.01.1971","31.12.1971","1971","1971"
"112350","17706","Anfrage 1968","01.01.1968","31.12.1968","1968","1968"
"112351","17707","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112352","17708","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"112353","17709","Anfrage 1965","01.01.1965","31.12.1965","1965","1965"
