"_system_object_id";"_id";"T_Chronologie";"T_ChronologieDatMin";"T_ChronologieDatMax";"T_ChronologieTimespanFrom";"T_ChronologieTimespanTo";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__generic_actors";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl__all_fields";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields_isler_v3";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|generic_materials|art_materials__all_fields";"easydb|typology_shell|oeu_shell__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|do|do__generic_import"
"111859";"17215";"Vorschlag 1966";"01.01.1966";"31.12.1966";"1966";"1966";"76";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17215";"12";"17164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111860";"17216";"Anfrage 1984";"01.01.1984";"31.12.1984";"1984";"1984";"77";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17216";"11";"17165";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111861";"17217";"Vorprojekt 1967";"01.01.1967";"31.12.1967";"1967";"1967";"78";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17217";"13";"17166";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111862";"17218";"Anfrage 1966";"01.01.1966";"31.12.1966";"1966";"1966";"79";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17218";"13";"17167";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111863";"17219";"Projekt 1970";"01.01.1970";"31.12.1970";"1970";"1970";"80";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17219";"13";"17168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111864";"17220";"Anfrage 1993";"01.01.1993";"31.12.1993";"1993";"1993";"81";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17220";"10";"17169";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111865";"17221";"Vorprojekt 1995";"01.01.1995";"31.12.1995";"1995";"1995";"82";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17221";"10";"17170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111866";"17222";"Vorprojekt 1970";"01.01.1970";"31.12.1970";"1970";"1970";"83";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17222";"11";"17171";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111867";"17223";"Anfrage 1981";"01.01.1981";"31.12.1981";"1981";"1981";"84";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17223";"10";"17172";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111869";"17225";"Projekt 1965";"01.01.1965";"31.12.1965";"1965";"1965";"85";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17225";"12";"17174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111871";"17227";"Vorprojekt 1969; Vorprojekt 1977 (Wiederaufnahme)";"01.01.1969";"31.12.1977";"1969";"1977";"86";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17227";"11";"17176";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111873";"17229";"Anfrage 1971";"01.01.1971";"31.12.1971";"1971";"1971";"87";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17229";"10";"17178";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111874";"17230";"Anfrage 1975";"01.01.1975";"31.12.1975";"1975";"1975";"88";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17230";"10";"17179";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111875";"17231";"Vorprojekt 1969";"01.01.1969";"31.12.1969";"1969";"1969";"89";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17231";"13";"17180";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111876";"17232";"Vorprojekt 1967";"01.01.1967";"31.12.1967";"1967";"1967";"90";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17232";"12";"17181";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111877";"17233";"Anfrage 1971";"01.01.1971";"31.12.1971";"1971";"1971";"91";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17233";"10";"17182";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111880";"17236";"Anfrage 2001/2003";"01.01.2001";"31.12.2003";"2001";"2003";"92";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17236";"12";"17185";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111881";"17237";"Anfrage 1969";"01.01.1969";"31.12.1969";"1969";"1969";"93";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17237";"10";"17186";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111882";"17238";"Anfrage 1996";"01.01.1996";"31.12.1996";"1996";"1996";"94";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17238";"12";"17187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111883";"17239";"Vorprojekt 1970";"01.01.1970";"31.12.1970";"1970";"1970";"95";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17239";"11";"17188";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
